nume,tip,localitate,alias
"Colegiul Economic Administrativ Iași",Liceu,Iași,"CEA"
"Liceul Tehnologic Economic „Virgil Madgearu” Iași",Liceu,Iași,
"Liceul Tehnologic „Petru Poni” Iași",Liceu,Iași,"Chimie"
"Colegiul Agricol și de Industrie Alimentară „Vasile Adamachi” Iași",Liceu,Iași,
"Colegiul Pedagogic „Vasile Lupu” Iași",Liceu,Iași,
"Seminarul Teologic Ortodox „Sfântul Vasile cel Mare” Iași",Liceu,Iași,
"Liceul Teologic Romano-Catolic „Sfântul Iosif” Iași",Liceu,Iași,
"Colegiul „Richard Wurmbrand” Iași",Liceu,Iași,
"Universitatea „Alexandru Ioan Cuza” Iași",Universitate,Iași,"UAIC"
"Universitatea de Medicină și Farmacie „Grigore T. Popa” Iași",Universitate,Iași,"UMF;UMF Iasi"
"Universitatea Tehnică „Gheorghe Asachi” Iași",Universitate,Iași,"TUIASI;Politehnica"
"Universitatea de Științele Vieții „Ion Ionescu de la Brad” Iași",Universitate,Iași,"USV;USAMV;Agronomie"
"Universitatea Națională de Arte „George Enescu” Iași",Universitate,Iași,"UNAGE;Conservator"
"Universitatea „Petre Andrei” Iași",Universitate,Iași,"UPA"
"Școala Gimnazială Miroslava",Școală,Miroslava,
"Școala Gimnazială Valea Adâncă",Școală,Valea Adâncă (Miroslava),
"Școala Gimnazială Valea Lupului",Școală,Valea Lupului,
"Școala Gimnazială Rediu",Școală,Rediu,
"Școala Gimnazială Lețcani",Școală,Lețcani,
"Școala Gimnazială Tomești",Școală,Tomești,
"Școala Gimnazială Holboca",Școală,Holboca,
"Școala Gimnazială Dancu",Școală,Dancu (Holboca),
"Școala Gimnazială Bârnova",Școală,Bârnova,
"Școala Gimnazială Ciurea",Școală,Ciurea,
"Școala Gimnazială Aroneanu",Școală,Aroneanu,
"Școala Gimnazială Popricani",Școală,Popricani,
"Școala Gimnazială Horlești",Școală,Horlești,
"Școala Gimnazială Schitu Duca",Școală,Schitu Duca,
"Școala Gimnazială Movileni",Școală,Movileni,
"Școala Gimnazială Ungheni",Școală,Ungheni (Iași),
